case_id,cine_id,gt_path,pred_path,dice
OL-095,OL-095-011,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-095-011/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-095/OL-095-011/micro_seg_net_prostate_mask.png,0.6577
OL-095,OL-095-015,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-095-015/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-095/OL-095-015/micro_seg_net_prostate_mask.png,0.6182
OL-095,OL-095-017,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-095-017/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-095/OL-095-017/micro_seg_net_prostate_mask.png,0.8295
OL-097,OL-097-022,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-097-022/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-097/OL-097-022/micro_seg_net_prostate_mask.png,0.8065
OL-097,OL-097-030,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-097-030/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-097/OL-097-030/micro_seg_net_prostate_mask.png,0.3087
OL-097,OL-097-033,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-097-033/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-097/OL-097-033/micro_seg_net_prostate_mask.png,0.6911
OL-100,OL-100-022,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-100-022/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-100/OL-100-022/micro_seg_net_prostate_mask.png,0.6941
OL-100,OL-100-024,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-100-024/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-100/OL-100-024/micro_seg_net_prostate_mask.png,0.8064
OL-100,OL-100-027,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-100-027/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-100/OL-100-027/micro_seg_net_prostate_mask.png,0.0
OL-103,OL-103-005,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-103-005/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-103/OL-103-005/micro_seg_net_prostate_mask.png,0.7807
OL-103,OL-103-008,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-103-008/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-103/OL-103-008/micro_seg_net_prostate_mask.png,0.6799
OL-103,OL-103-011,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-103-011/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-103/OL-103-011/micro_seg_net_prostate_mask.png,0.5952
OL-103,OL-103-014,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-103-014/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-103/OL-103-014/micro_seg_net_prostate_mask.png,0.8269
